trip_id,from_stop_id,to_stop_id,distance_km
34nbNemVSy5O0QhQ5utuQ-07:00:00,72,70,0.7292000000000001
34nbNemVSy5O0QhQ5utuQ-07:00:00,70,68,0.4621
34nbNemVSy5O0QhQ5utuQ-07:00:00,68,66,1.4539000000000002
34nbNemVSy5O0QhQ5utuQ-07:00:00,66,64,0.7005
34nbNemVSy5O0QhQ5utuQ-07:00:00,64,62,0.5337999999999999
34nbNemVSy5O0QhQ5utuQ-07:00:00,62,59,0.4254
34nbNemVSy5O0QhQ5utuQ-07:00:00,59,55,0.5113
34nbNemVSy5O0QhQ5utuQ-07:00:00,55,57,0.8122
34nbNemVSy5O0QhQ5utuQ-07:00:00,57,53,0.2134
34nbNemVSy5O0QhQ5utuQ-07:00:00,53,51,0.13219999999999998
34nbNemVSy5O0QhQ5utuQ-07:00:00,51,49,0.1767
3CgzuUO_dn1teCfMyugyc-07:00:00,79,103,0.48469999999999996
3CgzuUO_dn1teCfMyugyc-07:00:00,103,104,0.25739999999999996
3CgzuUO_dn1teCfMyugyc-07:00:00,104,106,0.2861
3CgzuUO_dn1teCfMyugyc-07:00:00,106,129,0.7074
3CgzuUO_dn1teCfMyugyc-07:00:00,129,131,0.39030000000000004
3CgzuUO_dn1teCfMyugyc-07:00:00,131,133,0.5953999999999999
3CgzuUO_dn1teCfMyugyc-07:00:00,133,203,0.1971
3CgzuUO_dn1teCfMyugyc-07:00:00,203,205,0.4565
3CgzuUO_dn1teCfMyugyc-07:00:00,205,207,0.4342
3CgzuUO_dn1teCfMyugyc-07:00:00,207,209,4.8508000000000004
3CgzuUO_dn1teCfMyugyc-07:00:00,209,211,2.274
3CgzuUO_dn1teCfMyugyc-07:00:00,211,214,1.0021
3CgzuUO_dn1teCfMyugyc-07:00:00,214,218,2.1185
3CgzuUO_dn1teCfMyugyc-07:00:00,218,220,1.4105
3CgzuUO_dn1teCfMyugyc-07:00:00,220,231,0.8179
3CgzuUO_dn1teCfMyugyc-07:00:00,231,233,0.6058
3CgzuUO_dn1teCfMyugyc-07:00:00,233,237,0.5404
3CgzuUO_dn1teCfMyugyc-07:00:00,237,235,0.5197999999999999
3CgzuUO_dn1teCfMyugyc-07:00:00,235,239,1.0317
3CgzuUO_dn1teCfMyugyc-07:00:00,239,245,0.42710000000000004
3CgzuUO_dn1teCfMyugyc-07:00:00,245,243,0.5841000000000001
3CgzuUO_dn1teCfMyugyc-07:00:00,243,241,1.0479
3CgzuUO_dn1teCfMyugyc-07:00:00,241,229,0.6613
3CgzuUO_dn1teCfMyugyc-07:00:00,229,225,0.3481
3CgzuUO_dn1teCfMyugyc-07:00:00,225,227,0.6194
3CgzuUO_dn1teCfMyugyc-07:00:00,227,406,1.7070999999999998
3CgzuUO_dn1teCfMyugyc-07:00:00,406,404,0.4209
3CgzuUO_dn1teCfMyugyc-07:00:00,404,423,1.0840999999999998
3CgzuUO_dn1teCfMyugyc-07:00:00,423,428,1.3724
3DsaT0dcW0e0BLcyD3Q6E-07:00:00,161,163,0.1743
3DsaT0dcW0e0BLcyD3Q6E-07:00:00,163,164,0.43739999999999996
3DsaT0dcW0e0BLcyD3Q6E-07:00:00,164,165,0.2356
3DsaT0dcW0e0BLcyD3Q6E-07:00:00,165,182,0.7845
3DsaT0dcW0e0BLcyD3Q6E-07:00:00,182,185,0.30469999999999997
3DsaT0dcW0e0BLcyD3Q6E-07:00:00,185,187,0.22569999999999998
3DsaT0dcW0e0BLcyD3Q6E-07:00:00,187,195,0.5315
3DsaT0dcW0e0BLcyD3Q6E-07:00:00,195,192,0.418
3DsaT0dcW0e0BLcyD3Q6E-07:00:00,192,197,0.3822
3DsaT0dcW0e0BLcyD3Q6E-07:00:00,197,199,0.5368999999999999
3DsaT0dcW0e0BLcyD3Q6E-07:00:00,199,224,0.18059999999999998
3DsaT0dcW0e0BLcyD3Q6E-07:00:00,224,412,0.393
3DsaT0dcW0e0BLcyD3Q6E-07:00:00,412,411,1.3033
3DsaT0dcW0e0BLcyD3Q6E-07:00:00,411,415,0.4157
3DsaT0dcW0e0BLcyD3Q6E-07:00:00,415,438,0.6182000000000001
3DsaT0dcW0e0BLcyD3Q6E-07:00:00,438,418,0.8765
3JTmhQmnxSU9cPkJSaSlE-07:00:00,89,93,0.1118
3JTmhQmnxSU9cPkJSaSlE-07:00:00,93,95,0.14980000000000002
3JTmhQmnxSU9cPkJSaSlE-07:00:00,95,97,0.2776
3JTmhQmnxSU9cPkJSaSlE-07:00:00,97,14,0.2774
3JTmhQmnxSU9cPkJSaSlE-07:00:00,14,45,0.373
3JTmhQmnxSU9cPkJSaSlE-07:00:00,45,128,0.3035
3JTmhQmnxSU9cPkJSaSlE-07:00:00,128,133,0.568
3JTmhQmnxSU9cPkJSaSlE-07:00:00,133,203,0.1971
3JTmhQmnxSU9cPkJSaSlE-07:00:00,203,205,0.4565
3JTmhQmnxSU9cPkJSaSlE-07:00:00,205,207,0.4342
3JTmhQmnxSU9cPkJSaSlE-07:00:00,207,209,4.8508000000000004
3JTmhQmnxSU9cPkJSaSlE-07:00:00,209,211,2.274
3JTmhQmnxSU9cPkJSaSlE-07:00:00,211,214,1.0021
3JTmhQmnxSU9cPkJSaSlE-07:00:00,214,218,2.1185
3JTmhQmnxSU9cPkJSaSlE-07:00:00,218,220,1.4105
3JTmhQmnxSU9cPkJSaSlE-07:00:00,220,231,0.8179
3JTmhQmnxSU9cPkJSaSlE-07:00:00,231,233,0.6058
