shape_id,distance_km
aL3IoFC8Ob46ci80-r5J__Shape,2.5359000000000003
bAHUtWeGgy-NzZiHpbdim_Shape,20.2611
bSYN2peHxalSinpb8v_ie_Shape,16.1019
bd7828viXdflnfuupm3s6_Shape,25.6642
c1YDpOopAR200ZEPZGL2D_Shape,10.1052
cPH8TY_FP2nMGpFWXqpQb_Shape,13.0315
cURs_PxThe2b2znIGFxQs_Shape,5.0635
d84WDadbu5AjbQpkTV2r4_Shape,87.414
dLkT29EUoWOal9hGBCA4x_Shape,123.2379
dWfTv7gA4CztWg-ijXkTe_Shape,17.890099999999997
divI9MoAnOSksgYUNogFE_Shape,34.7705
e8t7gY08MS-f47GD5XH51_Shape,6.5637
eI4I1CFyBUEYtwzc_6nqC_Shape,4.8036
eVKw5V4GKYTFMFEU2cbKc_Shape,78.3582
eZVkbWyfsnRxGOMkDoSfl_Shape,14.7546
f33WNkS3h2sqBmb32LsDI_Shape,14.602
fZK7Eo97quKfWNkbl9oTR_Shape,8.2767
fdkp3odv3VaA2gaEksu3i_Shape,57.3853
gNGHM_FUxY2cAKLH9-ILE_Shape,2.0191
gSfwa8Ce0UZivfHRgFQmi_Shape,154.4512
gp93eQ2WYNnUOJrA17bFP_Shape,11.4233
gqntW1mb4ahLW_IHlR39R_Shape,19.2695
hCtxqlnqMmikZr4cnUgjF_Shape,23.3977
iGgUl6NwJYqGWhVkUHdiu_Shape,123.3638
iHxp5k-_O7q56ncOSt9aW_Shape,41.070699999999995
iUaEgr0LK4VOSZFkdzur6_Shape,85.7089
jUSQ8Z6RmiugCcePQrJNM_Shape,1.6481
jWBg8TvwT24t5ID8oRKxt_Shape,5.86
kGJ35g79BU1ao8aW7duYA_Shape,142.304
kKR0i-pEBtj87zRv8vRz5_Shape,8.1503
keUygmfQjUMNwNeSanmRs_Shape,10.577200000000001
lMQXKFc6iKvul6yn9yxiz_Shape,34.8694
mL3nX7_Swe2eUme5B7Ufy_Shape,16.4887
mOAyR9hC46n6ORhDBT2l7_Shape,6.5931999999999995
nYPyDFvmKgS3bcDV6-0-U_Shape,51.798
nilFxlyYPYNiAZui3Rdkw_Shape,22.713
nnllgPNq1yuc-OXURFNAG_Shape,17.250400000000003
o1-MNGEnaLwUnghnqO6JK_Shape,93.6867
o9FR1QzxiDSovwQlc0MKb_Shape,6.4508
oL-cc2-4cc5VXM7r-ShUc_Shape,17.740099999999998
oVe9NWCir7yf4YumOIYpG_Shape,5.3256000000000006
ofLnCLGBqlPSHxiB_6HP7_Shape,22.4934
p2LolNMw2UzYkCDS09TaM_Shape,18.5039
pCUExpIx94RHG6BGAhT6a_Shape,94.29910000000001
pLOjOa2QgHvzgt6C_kcel_Shape,28.3511
pQ45GdSgOyF1CMHTWPmrk_Shape,16.590799999999998
pvjC2m5XDlTvQWgPayp9C_Shape,94.0502
q5Lba_fHFYAVYTctbEVvL_Shape,4.4235
qGoxkcgxJLIYDgVV9cYQ6_Shape,22.5728
